num_floor,unit_per_floor,price,age,statuse,view,doc_status,north,sought,west,east,floor,area,num_sleep,tel,kitch,service,floor_covering,open,parking,warehouse,balcony,equipment,address_encoded,room_to_area
4.0,1,118390804.59770115,27.0,8,22.0,10.0,0.0,1.0,0.0,0.0,3.0,87.0,2.0,1.0,50.0,15.0,15.0,1.0,1.0,1.0,1.0,6,121218915.77181348,0.022988505747126436
5.0,2,140000000.0,0.0,8,22.0,10.0,1.0,0.0,0.0,0.0,2.0,84.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,20,106024331.41528513,0.023809523809523808
5.0,1,136363636.36363637,0.0,8,22.0,10.0,0.0,1.0,0.0,0.0,1.0,66.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,21,116881752.16590452,0.030303030303030304
4.0,1,52500000.0,18.0,8,22.0,3.0,0.0,1.0,0.0,0.0,3.0,80.0,3.0,1.0,50.0,5.0,10.0,1.0,0.0,0.0,1.0,3,90276736.79716071,0.0375
4.0,4,140000000.0,3.0,8,22.0,10.0,1.0,0.0,0.0,0.0,3.0,130.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,0.0,1.0,18,138137584.84661886,0.015384615384615385
4.0,2,71739130.43478261,20.0,6,22.0,10.0,0.0,1.0,0.0,0.0,2.0,92.0,2.0,1.0,50.0,15.0,10.0,1.0,0.0,1.0,1.0,8,105751044.75779854,0.021739130434782608
5.0,2,110000000.0,12.0,6,22.0,10.0,0.0,1.0,0.0,0.0,4.0,103.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,0.0,16,105751044.75779854,0.019417475728155338
4.0,2,47115384.615384616,19.0,6,22.0,3.0,1.0,0.0,0.0,0.0,1.0,52.0,1.0,1.0,50.0,15.0,10.0,1.0,0.0,1.0,0.0,18,66641655.6314843,0.019230769230769232
4.0,1,72164948.45360824,17.0,6,22.0,10.0,0.0,1.0,0.0,0.0,2.0,97.0,2.0,1.0,50.0,5.0,10.0,1.0,0.0,1.0,1.0,6,108847442.52098835,0.020618556701030927
4.0,2,91089108.91089109,21.0,6,22.0,10.0,0.0,1.0,0.0,0.0,3.0,101.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,6,114303344.17128763,0.019801980198019802
3.0,1,70212765.95744681,30.0,6,22.0,3.0,0.0,1.0,0.0,0.0,2.0,47.0,0.0,1.0,50.0,5.0,10.0,1.0,0.0,0.0,1.0,3,105934525.36925614,0.0
5.0,2,106896551.72413793,3.0,8,22.0,10.0,0.0,1.0,0.0,0.0,1.0,87.0,2.0,1.0,50.0,15.0,10.0,1.0,1.0,1.0,1.0,16,88398213.3443459,0.022988505747126436
5.0,2,105000000.0,0.0,8,22.0,10.0,0.0,1.0,0.0,0.0,1.0,92.0,2.0,0.0,0.0,15.0,10.0,0.0,1.0,1.0,1.0,17,88398213.3443459,0.021739130434782608
5.0,3,106250000.0,12.0,6,22.0,10.0,1.0,0.0,0.0,0.0,1.0,80.0,2.0,1.0,50.0,5.0,10.0,0.0,1.0,1.0,0.0,18,105751044.75779854,0.025
